,Office,Name,Date,cabinet,start,end,office_term,start_office,end_office,next_start,is_end
168,Under-Secretary of State for the Home Department,Hon. Charles Jenkinson,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,February 1810,TRUE
169,Under-Secretary of State for the Home Department,Henry Goulburn,February 1810,FALSE,1809-10-04,1812-06-08,February 1810,1810-02-01,1812-06-08,NA,TRUE
170,Secretary of State for Foreign Affairs,The Earl Bathurst,11 October 1809,TRUE,1809-10-04,1812-06-08,11 October 1809,1809-10-11,1812-06-08,6 December 1809,TRUE
171,Secretary of State for Foreign Affairs,The Marquess Wellesley,6 December 1809,TRUE,1809-10-04,1812-06-08,6 December 1809,1809-12-06,1812-06-08,NA,TRUE
172,Under-Secretary of State for Foreign Affairs,Charles Bagot,continued in office – December 1809,FALSE,1809-10-04,1812-06-08,continued in office – December 1809,1809-10-04,1809-12-01,December 1809,FALSE
173,Under-Secretary of State for Foreign Affairs,Charles Culling Smith,December 1809 – February 1812,FALSE,1809-10-04,1812-06-08,December 1809 – February 1812,1809-12-01,1812-02-01,February 1812,FALSE
174,Under-Secretary of State for Foreign Affairs,Edward Cooke,February 1812 – June 1812,FALSE,1809-10-04,1812-06-08,February 1812 – June 1812,1812-02-01,1812-06-01,NA,FALSE
175,Secretary of State for War and the Colonies,The Earl of Liverpool,1 November 1809,TRUE,1809-10-04,1812-06-08,1 November 1809,1809-11-01,1812-06-08,NA,TRUE
176,Under-Secretary of State for the Colonies,Edward Cooke,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,2 November 1809,TRUE
177,Under-Secretary of State for the Colonies,Hon. Charles Jenkinson,2 November 1809,FALSE,1809-10-04,1812-06-08,2 November 1809,1809-11-02,1812-06-08,10 June 1810,TRUE
178,Under-Secretary of State for the Colonies,Robert Peel,10 June 1810,FALSE,1809-10-04,1812-06-08,10 June 1810,1810-06-10,1812-06-08,NA,TRUE
179,Under-Secretary of State for War,Hon. F. J. Robinson,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,2 November 1809,TRUE
180,Under-Secretary of State for War,Henry Bunbury,2 November 1809,FALSE,1809-10-04,1812-06-08,2 November 1809,1809-11-02,1812-06-08,NA,TRUE
181,First Lord of the Admiralty,The Lord Mulgrave,continued in office,TRUE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,4 May 1810,TRUE
182,First Lord of the Admiralty,Charles Philip Yorke,4 May 1810,TRUE,1809-10-04,1812-06-08,4 May 1810,1810-05-04,1812-06-08,25 March 1812,TRUE
183,First Lord of the Admiralty,The Viscount Melville,25 March 1812,TRUE,1809-10-04,1812-06-08,25 March 1812,1812-03-25,1812-06-08,NA,TRUE
184,First Secretary to the Admiralty,John Wilson Croker,12 October 1809,FALSE,1809-10-04,1812-06-08,12 October 1809,1809-10-12,1812-06-08,NA,TRUE
185,Civil Lords of the Admiralty,Robert Plumer Ward,continued in office – 17 June 1811,FALSE,1809-10-04,1812-06-08,continued in office – 17 June 1811,1809-10-04,1811-06-17,continued in office ,FALSE
186,Civil Lords of the Admiralty,The Viscount Palmerston,continued in office – 24 November 1809,FALSE,1809-10-04,1812-06-08,continued in office – 24 November 1809,1809-10-04,1809-11-24,continued in office ,FALSE
187,Civil Lords of the Admiralty,James Buller,continued in office – 25 March 1812,FALSE,1809-10-04,1812-06-08,continued in office – 25 March 1812,1809-10-04,1812-03-25,24 November 1809,FALSE
188,Civil Lords of the Admiralty,Viscount Lowther,24 November 1809 – 3 July 1810,FALSE,1809-10-04,1812-06-08,24 November 1809 – 3 July 1810,1809-11-24,1810-07-03,3 July 1810,FALSE
189,Civil Lords of the Admiralty,Hon. F. J. Robinson,3 July 1810 – 16 June 1812,FALSE,1809-10-04,1812-06-08,3 July 1810 – 16 June 1812,1810-07-03,1812-06-16,17 June 1811,FALSE
190,Civil Lords of the Admiralty,Lord Walpole,17 June 1811 – 16 June 1812,FALSE,1809-10-04,1812-06-08,17 June 1811 – 16 June 1812,1811-06-17,1812-06-16,25 March 1812,FALSE
191,Civil Lords of the Admiralty,William Dundas,25 March 1812 – 16 June 1812,FALSE,1809-10-04,1812-06-08,25 March 1812 – 16 June 1812,1812-03-25,1812-06-16,NA,FALSE
192,President of the Board of Trade,The Earl Bathurst,continued in office,TRUE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
193,Master of the Mint,The Earl Bathurst,continued in office,TRUE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
194,Vice-President of the Board of Trade,George Rose,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
195,President of the Board of Control,The Earl of Harrowby,continued in office,TRUE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,13 November 1809,TRUE
196,President of the Board of Control,Hon. Robert Dundas[note 3],13 November 1809,FALSE,1809-10-04,1812-06-08,13 November 1809,1809-11-13,1812-06-08,7 April 1812,TRUE
197,President of the Board of Control,The Earl of Buckinghamshire,7 April 1812,FALSE,1809-10-04,1812-06-08,7 April 1812,1812-04-07,1812-06-08,NA,TRUE
198,Secretary to the Board of Control,George Peter Holford,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,January 1810,TRUE
199,Secretary to the Board of Control,Sir Patrick Murray,January 1810,FALSE,1809-10-04,1812-06-08,January 1810,1810-01-01,1812-06-08,March 1812,TRUE
200,Secretary to the Board of Control,John Bruce,March 1812,FALSE,1809-10-04,1812-06-08,March 1812,1812-03-01,1812-06-08,NA,TRUE
201,Master-General of the Ordnance,The Earl of Chatham,continued in office,TRUE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,5 May 1810,TRUE
202,Master-General of the Ordnance,The Lord Mulgrave,5 May 1810,TRUE,1809-10-04,1812-06-08,5 May 1810,1810-05-05,1812-06-08,NA,TRUE
203,Lieutenant-General of the Ordnance,Sir Thomas Trigge,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
204,Treasurer of the Ordnance,Joseph Hunt,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,30 January 1810,TRUE
205,Treasurer of the Ordnance,Thomas Alcock,30 January 1810,FALSE,1809-10-04,1812-06-08,30 January 1810,1810-01-30,1812-06-08,NA,TRUE
206,Surveyor-General of the Ordnance,James Murray Hadden,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,20 July 1810,TRUE
207,Surveyor-General of the Ordnance,Robert Moorsom,20 July 1810,FALSE,1809-10-04,1812-06-08,20 July 1810,1810-07-20,1812-06-08,NA,TRUE
208,Clerk of the Ordnance,Hon. Cropley Ashley-Cooper,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,14 June 1811,TRUE
209,Clerk of the Ordnance,Robert Plumer Ward,14 June 1811,FALSE,1809-10-04,1812-06-08,14 June 1811,1811-06-14,1812-06-08,NA,TRUE
210,Clerk of the Deliveries of the Ordnance,Thomas Thoroton,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
211,Storekeeper of the Ordnance,Mark Singleton,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
212,Treasurer of the Navy,George Rose,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
213,Secretary at War,The Viscount Palmerston,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
214,Paymaster of the Forces,Charles Long,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,1809-10-04,TRUE
215,Paymaster of the Forces,Lord Charles Somerset,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
216,Postmaster General,The Earl of Chichester,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,1809-10-04,TRUE
217,Postmaster General,The Earl of Sandwich,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
218,"Surveyor General of Woods, Forests, Parks, and Chases[note 4]",The Lord Glenbervie,continued in office – July 1810,FALSE,1809-10-04,1812-06-08,continued in office – July 1810,1809-10-04,1810-07-01,NA,FALSE
219,First Commissioner of Woods and Forests,The Lord Glenbervie,July 1810,FALSE,1809-10-04,1812-06-08,July 1810,1810-07-01,1812-06-08,NA,TRUE
220,Ministers without Portfolio,The Duke of Portland,4 October 1809 – 30 October 1809,TRUE,1809-10-04,1812-06-08,4 October 1809 – 30 October 1809,1809-10-04,1809-10-30,November 1809,FALSE
221,Ministers without Portfolio,The Earl of Harrowby,November 1809 – June 1812,TRUE,1809-10-04,1812-06-08,November 1809 – June 1812,1809-11-01,1812-06-01,8 April 1812,FALSE
222,Ministers without Portfolio,The Earl Camden,8 April 1812 – June 1812,TRUE,1809-10-04,1812-06-08,8 April 1812 – June 1812,1812-04-08,1812-06-01,NA,FALSE
223,Lord Lieutenant of Ireland,The Duke of Richmond,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
224,Chief Secretary for Ireland,Hon. William Wellesley-Pole,October 1809,FALSE,1809-10-04,1812-06-08,October 1809,1809-10-01,1812-06-08,NA,TRUE
225,Attorney General,Sir Vicary Gibbs,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
226,Solicitor General,Sir Thomas Plumer,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
227,Judge Advocate General,Charles Manners-Sutton,8 November 1809,FALSE,1809-10-04,1812-06-08,8 November 1809,1809-11-08,1812-06-08,NA,TRUE
228,Lord Advocate,Archibald Colquhoun,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
229,Solicitor General for Scotland,David Boyle,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,22 February 1811,TRUE
230,Solicitor General for Scotland,David Monypenny,22 February 1811,FALSE,1809-10-04,1812-06-08,22 February 1811,1811-02-22,1812-06-08,NA,TRUE
231,Attorney-General for Ireland,William Saurin,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
232,Solicitor-General for Ireland,Charles Kendal Bushe,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
233,Lord Steward of the Household,The Earl of Aylesford,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,19 February 1812,TRUE
234,Lord Steward of the Household,The Earl of Cholmondeley,19 February 1812,FALSE,1809-10-04,1812-06-08,19 February 1812,1812-02-19,1812-06-08,NA,TRUE
235,Treasurer of the Household,Viscount Stopford[note 5],continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,8 May 1812,TRUE
236,Treasurer of the Household,Viscount Jocelyn,8 May 1812,FALSE,1809-10-04,1812-06-08,8 May 1812,1812-05-08,1812-06-08,NA,TRUE
237,Comptroller of the Household,Lord George Thynne,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
238,Lord Chamberlain of the Household,The Earl of Dartmouth,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,10 November 1810,TRUE
239,Lord Chamberlain of the Household,vacant[note 6],10 November 1810,FALSE,1809-10-04,1812-06-08,10 November 1810,1810-11-10,1812-06-08,7 March 1812,TRUE
240,Lord Chamberlain of the Household,The Marquess of Hertford,7 March 1812,FALSE,1809-10-04,1812-06-08,7 March 1812,1812-03-07,1812-06-08,NA,TRUE
241,Vice-Chamberlain of the Household,Lord John Thynne,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,14 March 1812,TRUE
242,Vice-Chamberlain of the Household,Earl of Yarmouth,14 March 1812,FALSE,1809-10-04,1812-06-08,14 March 1812,1812-03-14,1812-06-08,NA,TRUE
243,Master of the Horse,The Duke of Montrose,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
244,Master of the Buckhounds,The Marquess Cornwallis,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
245,Captain of the Gentlemen Pensioners,The Earl of Mount Edgcumbe,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,26 March 1812,TRUE
246,Captain of the Gentlemen Pensioners,The Earl of Courtown,26 March 1812,FALSE,1809-10-04,1812-06-08,26 March 1812,1812-03-26,1812-06-08,NA,TRUE
247,Captain of the Yeomen of the Guard,The Earl of Macclesfield,continued in office,FALSE,1809-10-04,1812-06-08,1809-10-04,1809-10-04,1812-06-08,NA,TRUE
248,First Lord of the TreasuryLeader of the House of Lords,The Earl of Liverpool,8 June 1812 – 9 April 1827,TRUE,1812-06-08,1827-04-10,8 June 1812 – 9 April 1827,1812-06-08,1827-04-09,NA,FALSE
249,Chancellor of the Exchequer,Nicholas Vansittart,9 June 1812,TRUE,1812-06-08,1827-04-10,9 June 1812,1812-06-09,1827-04-10,21 January 1823,TRUE
250,Chancellor of the Exchequer,F. J. Robinson,21 January 1823,TRUE,1812-06-08,1827-04-10,21 January 1823,1823-01-21,1827-04-10,NA,TRUE
251,Secretaries to the Treasury,Richard Wharton,Continued in office – 1814,FALSE,1812-06-08,1827-04-10,Continued in office – 1814,1812-06-08,1814-01-01,Continued in office ,FALSE
252,Secretaries to the Treasury,Charles Arbuthnot,Continued in office – 1823,FALSE,1812-06-08,1827-04-10,Continued in office – 1823,1812-06-08,1823-01-01,1814,FALSE
253,Secretaries to the Treasury,Stephen Rumbold Lushington,1814–1827,FALSE,1812-06-08,1827-04-10,1814–1827,1814-01-01,1827-04-10,1823,FALSE
254,Secretaries to the Treasury,John Charles Herries,1823–1827,FALSE,1812-06-08,1827-04-10,1823–1827,1823-01-01,1827-04-10,NA,FALSE
255,Junior Lords of the Treasury,William Vesey-FitzGerald,16 June 1812 – 7 January 1817,FALSE,1812-06-08,1827-04-10,16 June 1812 – 7 January 1817,1812-06-16,1817-01-07,16 June 1812,FALSE
256,Junior Lords of the Treasury,Berkeley Paget,16 June 1812 – 13 June 1826,FALSE,1812-06-08,1827-04-10,16 June 1812 – 13 June 1826,1812-06-16,1826-06-13,16 June 1812,FALSE
257,Junior Lords of the Treasury,F. J. Robinson,16 June 1812 – 25 November 1813,TRUE,1812-06-08,1827-04-10,16 June 1812 – 25 November 1813,1812-06-16,1813-11-25,16 June 1812,FALSE
258,Junior Lords of the Treasury,James Brogden,16 June 1812 – 20 December 1813,FALSE,1812-06-08,1827-04-10,16 June 1812 – 20 December 1813,1812-06-16,1813-12-20,25 November 1813,FALSE
259,Junior Lords of the Treasury,Viscount Lowther,25 November 1813 – 30 April 1827,FALSE,1812-06-08,1827-04-10,25 November 1813 – 30 April 1827,1813-11-25,1827-04-30,20 December 1813,FALSE
260,Junior Lords of the Treasury,Charles Grant,20 December 1813 – 25 March 1819,FALSE,1812-06-08,1827-04-10,20 December 1813 – 25 March 1819,1813-12-20,1819-03-25,7 January 1817,FALSE
261,Junior Lords of the Treasury,John Maxwell-Barry,7 January 1817 – 3 May 1823,FALSE,1812-06-08,1827-04-10,7 January 1817 – 3 May 1823,1817-01-07,1823-05-03,7 January 1817,FALSE
262,Junior Lords of the Treasury,William Odell,7 January 1817 – 25 March 1819,FALSE,1812-06-08,1827-04-10,7 January 1817 – 25 March 1819,1817-01-07,1819-03-25,25 March 1819,FALSE
263,Junior Lords of the Treasury,Lord Granville Somerset,25 March 1819 – 30 April 1827,FALSE,1812-06-08,1827-04-10,25 March 1819 – 30 April 1827,1819-03-25,1827-04-30,25 March 1819,FALSE
264,Junior Lords of the Treasury,Edmond Alexander Macnaghten,25 March 1819 – 30 April 1827,FALSE,1812-06-08,1827-04-10,25 March 1819 – 30 April 1827,1819-03-25,1827-04-30,13 June 1826,FALSE
265,Junior Lords of the Treasury,Earl of Mount Charles,13 June 1826 – 30 April 1827,FALSE,1812-06-08,1827-04-10,13 June 1826 – 30 April 1827,1826-06-13,1827-04-30,NA,FALSE
266,Lord Chancellor,The Lord Eldon[a],Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,NA,TRUE
267,Lord President of the Council,The Earl of Harrowby,11 June 1812,TRUE,1812-06-08,1827-04-10,11 June 1812,1812-06-11,1827-04-10,NA,TRUE
268,Lord Privy Seal,The Earl of Westmorland,Continued in office,TRUE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,NA,TRUE
269,Home Secretary,The Viscount Sidmouth,11 June 1812,TRUE,1812-06-08,1827-04-10,11 June 1812,1812-06-11,1827-04-10,17 January 1822,TRUE
270,Home Secretary,Robert Peel,17 January 1822,TRUE,1812-06-08,1827-04-10,17 January 1822,1822-01-17,1827-04-10,NA,TRUE
271,Under-Secretary of State for the Home Department,Henry Goulburn,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,August 1812,TRUE
272,Under-Secretary of State for the Home Department,John Hiley Addington,August 1812,FALSE,1812-06-08,1827-04-10,August 1812,1812-08-01,1827-04-10,April 1818,TRUE
273,Under-Secretary of State for the Home Department,Henry Clive,April 1818,FALSE,1812-06-08,1827-04-10,April 1818,1818-04-01,1827-04-10,January 1822,TRUE
274,Under-Secretary of State for the Home Department,George Robert Dawson,January 1822,FALSE,1812-06-08,1827-04-10,January 1822,1822-01-01,1827-04-10,NA,TRUE
275,Secretary of State for Foreign AffairsLeader of the House of Commons,Viscount Castlereagh[b],Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,16 September 1822,TRUE
276,Secretary of State for Foreign AffairsLeader of the House of Commons,George Canning,16 September 1822,TRUE,1812-06-08,1827-04-10,16 September 1822,1822-09-16,1827-04-10,NA,TRUE
277,Under-Secretary of State for Foreign Affairs,Edward Cooke,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,25 July 1817,TRUE
278,Under-Secretary of State for Foreign Affairs,Joseph Planta,25 July 1817,FALSE,1812-06-08,1827-04-10,25 July 1817,1817-07-25,1827-04-10,22 January 1822,TRUE
279,Under-Secretary of State for Foreign Affairs,The Earl of Clanwilliam,22 January 1822,FALSE,1812-06-08,1827-04-10,22 January 1822,1822-01-22,1827-04-10,January 1823,TRUE
280,Under-Secretary of State for Foreign Affairs,Lord Francis Conyngham[c],January 1823 – January 1826,FALSE,1812-06-08,1827-04-10,January 1823 – January 1826,1823-01-01,1826-01-01,July 1824,FALSE
281,Under-Secretary of State for Foreign Affairs,The Lord Howard de Walden,July 1824 – April 1827,FALSE,1812-06-08,1827-04-10,July 1824 – April 1827,1824-07-01,1827-04-01,January 1826,FALSE
282,Under-Secretary of State for Foreign Affairs,The Marquess of Clanricarde,January 1826 – April 1827,FALSE,1812-06-08,1827-04-10,January 1826 – April 1827,1826-01-01,1827-04-01,NA,FALSE
283,Secretary of State for War and the Colonies,The Earl Bathurst,11 June 1812,TRUE,1812-06-08,1827-04-10,11 June 1812,1812-06-11,1827-04-10,NA,TRUE
284,Under-Secretary of State for War and the Colonies,Henry Bunbury,Continued in office – 1816,FALSE,1812-06-08,1827-04-10,Continued in office – 1816,1812-06-08,1816-01-01,Continued in office ,FALSE
285,Under-Secretary of State for War and the Colonies,Robert Peel,Continued in office – 1812,TRUE,1812-06-08,1827-04-10,Continued in office – 1812,1812-06-08,1812-12-31,1812,FALSE
286,Under-Secretary of State for War and the Colonies,Henry Goulburn,1812–1821,FALSE,1812-06-08,1827-04-10,1812–1821,1812-06-08,1821-01-01,1821,FALSE
287,Under-Secretary of State for War and the Colonies,Robert Wilmot Horton,1821,FALSE,1812-06-08,1827-04-10,1821,1812-06-08,1827-04-10,NA,TRUE
288,First Lord of the Admiralty,The Viscount Melville,Continued in office,TRUE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,NA,TRUE
289,First Secretary to the Admiralty,John Wilson Croker,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,NA,TRUE
290,Civil Lords of the Admiralty,F. J. Robinson,Continued in office – 5 October 1812,TRUE,1812-06-08,1827-04-10,Continued in office – 5 October 1812,1812-06-08,1812-10-05,Continued in office ,FALSE
291,Civil Lords of the Admiralty,Lord Walpole,Continued in office – 5 October 1812,FALSE,1812-06-08,1827-04-10,Continued in office – 5 October 1812,1812-06-08,1812-10-05,Continued in office ,FALSE
292,Civil Lords of the Admiralty,William Dundas,Continued in office – 23 August 1814,FALSE,1812-06-08,1827-04-10,Continued in office – 23 August 1814,1812-06-08,1814-08-23,5 October 1812,FALSE
293,Civil Lords of the Admiralty,Sir George Warrender,5 October 1812 – 8 February 1822,FALSE,1812-06-08,1827-04-10,5 October 1812 – 8 February 1822,1812-10-05,1822-02-08,5 October 1812,FALSE
294,Civil Lords of the Admiralty,John Osborn[d],5 October 1812 – 16 February 1824,FALSE,1812-06-08,1827-04-10,5 October 1812 – 16 February 1824,1812-10-05,1824-02-16,24 May 1816,FALSE
295,Civil Lords of the Admiralty,The Marquess of Worcester,24 May 1816 – 15 March 1819,FALSE,1812-06-08,1827-04-10,24 May 1816 – 15 March 1819,1816-05-24,1819-03-15,15 March 1819,FALSE
296,Civil Lords of the Admiralty,Sir George Clerk,15 March 1819 – 2 May 1827,FALSE,1812-06-08,1827-04-10,15 March 1819 – 2 May 1827,1819-03-15,1827-05-02,8 February,FALSE
297,Civil Lords of the Admiralty,Lord William Douglas,8 February – 23 March 182216 February 1824 – 2 May 1827,FALSE,1812-06-08,1827-04-10,8 February – 23 March 182216 February 1824 – 2 May 1827,1824-02-16,1827-04-10,NA,FALSE
298,President of the Board of Trade,The Earl Bathurst,Continued in office,TRUE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,29 September 1812,TRUE
299,President of the Board of Trade,The Earl of Clancarty,29 September 1812,FALSE,1812-06-08,1827-04-10,29 September 1812,1812-09-29,1827-04-10,24 January 1818,TRUE
300,President of the Board of Trade,F. J. Robinson,24 January 1818,TRUE,1812-06-08,1827-04-10,24 January 1818,1818-01-24,1827-04-10,31 January 1823,TRUE
301,President of the Board of Trade,William Huskisson,31 January 1823,TRUE,1812-06-08,1827-04-10,31 January 1823,1823-01-31,1827-04-10,NA,TRUE
302,Vice-President of the Board of Trade,George Rose,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,29 September 1812,TRUE
303,Vice-President of the Board of Trade,F. J. Robinson,29 September 1812,TRUE,1812-06-08,1827-04-10,29 September 1812,1812-09-29,1827-04-10,24 January 1818,TRUE
304,Vice-President of the Board of Trade,Thomas Wallace,24 January 1818,FALSE,1812-06-08,1827-04-10,24 January 1818,1818-01-24,1827-04-10,3 April 1823,TRUE
305,Vice-President of the Board of Trade,Charles Grant,3 April 1823,FALSE,1812-06-08,1827-04-10,3 April 1823,1823-04-03,1827-04-10,NA,TRUE
306,President of the Board of Control,The Earl of Buckinghamshire,Continued in office,TRUE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,20 June 1816,TRUE
307,President of the Board of Control,George Canning,20 June 1816,TRUE,1812-06-08,1827-04-10,20 June 1816,1816-06-20,1827-04-10,16 January 1821,TRUE
308,President of the Board of Control,Charles Bragge Bathurst,16 January 1821,TRUE,1812-06-08,1827-04-10,16 January 1821,1821-01-16,1827-04-10,8 February 1822,TRUE
309,President of the Board of Control,Charles Williams-Wynn,8 February 1822,TRUE,1812-06-08,1827-04-10,8 February 1822,1822-02-08,1827-04-10,NA,TRUE
310,Secretary to the Board of Control,John Bruce,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,20 August 1812,TRUE
311,Secretary to the Board of Control,Thomas Courtenay,20 August 1812,FALSE,1812-06-08,1827-04-10,20 August 1812,1812-08-20,1827-04-10,NA,TRUE
312,Chancellor of the Duchy of Lancaster,The Earl of Buckinghamshire,23 June 1812,TRUE,1812-06-08,1827-04-10,23 June 1812,1812-06-23,1827-04-10,23 August 1812,TRUE
313,Chancellor of the Duchy of Lancaster,Charles Bathurst,23 August 1812,TRUE,1812-06-08,1827-04-10,23 August 1812,1812-08-23,1827-04-10,13 February 1823,TRUE
314,Chancellor of the Duchy of Lancaster,Nicholas Vansittart[e],13 February 1823,FALSE,1812-06-08,1827-04-10,13 February 1823,1823-02-13,1827-04-10,NA,TRUE
315,Master-General of the Ordnance,The Earl of Mulgrave,Continued in office,TRUE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,1 January 1819,TRUE
316,Master-General of the Ordnance,The Duke of Wellington,1 January 1819,TRUE,1812-06-08,1827-04-10,1 January 1819,1819-01-01,1827-04-10,NA,TRUE
317,Lieutenant-General of the Ordnance,Sir Thomas Trigge,Continued in office – 11 January 1814,FALSE,1812-06-08,1827-04-10,Continued in office – 11 January 1814,1812-06-08,1814-01-11,9 March 1814,FALSE
318,Lieutenant-General of the Ordnance,Sir Hildebrand Oakes,9 March 1814 – 9 September 1822,FALSE,1812-06-08,1827-04-10,9 March 1814 – 9 September 1822,1814-03-09,1822-09-09,18 February 1823,FALSE
319,Lieutenant-General of the Ordnance,The Viscount Beresford,18 February 1823,FALSE,1812-06-08,1827-04-10,18 February 1823,1823-02-18,1827-04-10,22 March 1824,TRUE
320,Lieutenant-General of the Ordnance,Sir George Murray,22 March 1824,FALSE,1812-06-08,1827-04-10,22 March 1824,1824-03-22,1827-04-10,30 April 1825,TRUE
321,Lieutenant-General of the Ordnance,Sir William Henry Clinton,30 April 1825,FALSE,1812-06-08,1827-04-10,30 April 1825,1825-04-30,1827-04-10,NA,TRUE
322,Treasurer of the Ordnance,Thomas Alcock,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,20 June 1818,TRUE
323,Treasurer of the Ordnance,William Holmes,20 June 1818,FALSE,1812-06-08,1827-04-10,20 June 1818,1818-06-20,1827-04-10,NA,TRUE
324,Surveyor-General of the Ordnance,Robert Moorsom,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,16 March 1820,TRUE
325,Surveyor-General of the Ordnance,Sir Ulysses Burgh[f],16 March 1820,FALSE,1812-06-08,1827-04-10,16 March 1820,1820-03-16,1827-04-10,NA,TRUE
326,Clerk of the Ordnance,Robert Plumer Ward,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,29 April 1823,TRUE
327,Clerk of the Ordnance,Sir Henry Hardinge,29 April 1823,FALSE,1812-06-08,1827-04-10,29 April 1823,1823-04-29,1827-04-10,NA,TRUE
328,Clerk of the Deliveries of the Ordnance,Thomas Thoroton,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,31 October 1812,TRUE
329,Clerk of the Deliveries of the Ordnance,Edmund Phipps,31 October 1812,FALSE,1812-06-08,1827-04-10,31 October 1812,1812-10-31,1827-04-10,NA,TRUE
330,Storekeeper of the Ordnance,Mark Singleton,Continued in office,FALSE,1812-06-08,1827-04-10,1812-06-08,1812-06-08,1827-04-10,NA,TRUE
